timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
2025-07-13T11:10:10.652059,12080,-2504,11900,-643,1241,-419,sitting
2025-07-13T11:10:10.652059,11856,-2644,11908,-781,1478,-339,sitting
2025-07-13T11:10:10.652059,11908,-2696,12020,-771,1402,-292,sitting
2025-07-13T11:10:10.652059,11964,-2776,12100,-572,1325,-290,sitting
2025-07-13T11:10:10.652059,11800,-2840,12072,-540,1110,-351,sitting
2025-07-13T11:10:10.652059,11708,-2916,12020,-379,947,-333,sitting
2025-07-13T11:10:10.652059,11748,-2816,12048,-420,753,-307,sitting
2025-07-13T11:10:10.652059,11944,-2824,12012,-399,705,-238,sitting
2025-07-13T11:10:10.652059,12140,-2816,12044,-366,730,-174,sitting
2025-07-13T11:10:10.652059,12296,-2616,11984,-381,944,-98,sitting
2025-07-13T11:10:10.652059,12160,-2516,11668,-461,1078,-151,sitting
2025-07-13T11:10:10.652059,12192,-2444,11708,-575,1166,-231,sitting
2025-07-13T11:10:10.652059,12092,-2656,11812,-815,1406,-235,sitting
2025-07-13T11:10:10.652059,11864,-2764,12052,-1004,1494,-207,sitting
2025-07-13T11:10:10.652059,11724,-2796,12280,-972,1483,-191,sitting
2025-07-13T11:10:10.652059,11624,-2900,12308,-799,1381,-216,sitting
2025-07-13T11:10:10.652059,11492,-2972,12244,-726,1220,-217,sitting
2025-07-13T11:10:10.652059,11504,-2936,12128,-610,1008,-245,sitting
2025-07-13T11:10:10.667832,11524,-2900,12044,-599,869,-232,sitting
2025-07-13T11:10:10.667832,11572,-2800,12292,-500,838,-294,sitting
2025-07-13T11:10:10.668449,11616,-2756,12216,-537,922,-320,sitting
2025-07-13T11:10:10.668449,11632,-2652,12416,-532,967,-302,sitting
2025-07-13T11:10:10.668449,11820,-2624,12156,-502,968,-296,sitting
2025-07-13T11:10:10.669178,11808,-2696,12328,-567,1019,-260,sitting
2025-07-13T11:10:10.669178,11776,-2800,12224,-561,954,-220,sitting
2025-07-13T11:10:10.669178,11632,-2884,12076,-505,859,-215,sitting
2025-07-13T11:10:10.669178,11788,-2804,12168,-557,959,-88,sitting
2025-07-13T11:10:10.669178,11880,-3008,12440,-593,1157,68,sitting
2025-07-13T11:10:10.670303,11920,-2996,12744,-520,1257,111,sitting
2025-07-13T11:10:10.670303,11776,-3000,12276,-298,1255,40,sitting
2025-07-13T11:10:10.670303,11640,-2856,11996,-298,1144,-131,sitting
2025-07-13T11:10:10.670303,11540,-2664,11828,-459,1098,-304,sitting
2025-07-13T11:10:10.670303,11512,-2668,12184,-479,1104,-171,sitting
2025-07-13T11:10:10.670303,11696,-2644,12272,-463,1068,-189,sitting
2025-07-13T11:10:10.670696,11480,-2876,12264,-308,970,-256,sitting
2025-07-13T11:10:10.670696,11544,-2888,12064,-254,926,-229,sitting
2025-07-13T11:10:10.670696,11528,-2868,12004,-275,888,-110,sitting
2025-07-13T11:10:10.670696,11584,-2952,11960,-274,838,13,sitting
2025-07-13T11:10:10.670696,11628,-2880,11992,-177,657,-61,sitting
2025-07-13T11:10:10.670696,11676,-2724,11716,-276,535,-225,sitting
2025-07-13T11:10:10.670696,11700,-2656,11684,-508,622,-244,sitting
2025-07-13T11:10:10.670696,11684,-2528,11404,-815,617,-204,sitting
2025-07-13T11:10:10.670696,11684,-2392,11284,-1019,570,-180,sitting
2025-07-13T11:10:10.670696,11776,-2272,11488,-1377,610,-177,sitting
2025-07-13T11:10:11.687543,12752,-3856,15400,-200,2386,-51,sitting
2025-07-13T11:10:11.687543,11164,-3636,13000,1058,1631,-627,sitting
2025-07-13T11:10:11.687543,9916,-3064,10688,1301,528,-1055,sitting
2025-07-13T11:10:11.687543,9752,-2480,9724,207,-187,-693,sitting
2025-07-13T11:10:11.687543,11164,-2404,10648,-1225,10,-60,sitting
2025-07-13T11:10:11.687543,12696,-2880,12760,-1606,790,335,sitting
2025-07-13T11:10:11.687543,13316,-3172,14028,-734,1452,57,sitting
